cluster	proteomes_count	UP000827084	UP000241824	UP001805215	UP000426033	UP001064402	UP001251091	UP000663399
UPI001C72F2CC	7	1	1	1	1	1	1	1
UPI001C26555D	7	1	1	1	1	1	1	1
UPI0019826BAF	7	1	1	1	1	1	1	1
UPI0019824CDF	7	1	1	1	1	1	1	1
UPI0019823A45	7	1	1	1	1	1	1	1
UPI0019820143	7	1	1	1	1	1	1	1
UPI001981E0CD	7	1	1	1	1	1	1	1
UPI001981DEE2	7	1	1	1	1	1	1	1
UPI001981D512	7	1	1	1	1	1	1	1
UPI001981527A	7	1	1	1	1	1	1	1
UPI0019813517	7	1	1	1	1	1	1	1
UPI001981023E	7	1	1	1	1	1	1	1
UPI001980C08D	7	1	1	1	1	1	1	1
UPI001980AD80	7	1	1	1	1	1	1	1
UPI0019809ADC	7	1	1	1	1	1	1	1
UPI001980598E	7	1	1	1	1	1	1	1
UPI0019803CCB	7	1	1	1	1	1	1	1
UPI00198032E8	7	1	1	1	1	1	1	1
UPI00197FD4E3	7	1	1	1	1	1	1	1
UPI00197FCB1B	7	1	1	1	1	1	1	1
UPI00197FB9C0	7	1	1	1	1	1	1	1
UPI00197F78E7	7	1	1	1	1	1	1	1
UPI00197F2FCA	7	1	1	1	1	1	1	1
UPI00197E92E0	7	1	1	1	1	1	1	1
UPI00197E5237	7	1	1	1	1	1	1	1
UPI00197E3FBD	7	1	1	1	1	1	1	1
UPI00197E36B0	7	1	1	1	1	1	1	1
UPI00197DD8A4	7	1	1	1	1	1	1	1
UPI00197DC365	7	1	1	1	1	1	1	1
UPI00197D9672	7	1	1	1	1	1	1	1
UPI00197D0F49	7	1	1	1	1	1	1	1
UPI00197D0A2F	7	1	1	1	1	1	1	1
UPI00197CCACC	7	1	1	1	1	1	1	1
UPI0018E90857	7	1	1	1	1	1	1	1
UPI0018E8E7D6	7	1	1	1	1	1	1	1
UPI0018E8C241	7	1	1	1	1	1	1	1
UPI0018E8BF37	7	1	1	1	1	1	1	1
UPI0018E8BBBE	7	1	1	1	1	1	1	1
UPI0018E8B38C	7	1	1	1	1	1	1	1
UPI0018E83B63	7	1	1	1	1	1	1	1
UPI0018E832DF	7	1	1	1	1	1	1	1
UPI0018E8325C	7	1	1	1	1	1	1	1
UPI0018E82BDA	7	1	1	1	1	1	1	1
UPI0018E7ED5B	7	1	1	1	1	1	1	1
UPI0018E7DABE	7	1	1	1	1	1	1	1
UPI0018E79329	7	1	1	1	1	1	1	1
UPI0018E78E62	7	1	1	1	1	1	1	1
UPI0018E733AC	7	1	1	1	1	1	1	1
UPI0018E732B5	7	1	1	1	1	1	1	1
UPI0018E72C88	7	1	1	1	1	1	1	1
UPI0018E7049B	7	1	1	1	1	1	1	1
UPI0018E703D3	7	1	1	1	1	1	1	1
UPI0018E6E34E	7	1	1	1	1	1	1	1
UPI0018E6E125	7	1	1	1	1	1	1	1
UPI0018E6DDBF	7	1	1	1	1	1	1	1
UPI0018C87A2D	7	1	1	1	1	1	1	1
UPI0018A2CF2D	7	1	1	1	1	1	1	1
UPI00166C3440	7	1	1	1	1	1	1	1
UPI00166AD6D9	7	1	1	1	1	1	1	1
UPI0016698F03	7	1	1	1	1	1	1	1
UPI00157CD3D0	7	1	1	1	1	1	1	1
UPI00157B6272	7	1	1	1	1	1	1	1
UPI00157B52EE	7	1	1	1	1	1	1	1
UPI00157B4A59	7	1	1	1	1	1	1	1
UPI00157B1780	7	1	1	1	1	1	1	1
UPI00157AA06D	7	1	1	1	1	1	1	1
UPI0013E2E21B	7	1	1	1	1	1	1	1
UPI00135533E1	7	1	1	1	1	1	1	1
UPI001354E844	7	1	1	1	1	1	1	1
UPI000FE27D3D	7	1	1	1	1	1	1	1
UPI000FE27C0E	7	1	1	1	1	1	1	1
UPI000FE27A1C	7	1	1	1	1	1	1	1
UPI000FE273FE	7	1	1	1	1	1	1	1
UPI000FE26670	7	1	1	1	1	1	1	1
UPI000FE25176	7	1	1	1	1	1	1	1
UPI000FE246B4	7	1	1	1	1	1	1	1
UPI000FE24445	7	1	1	1	1	1	1	1
UPI000FE21560	7	1	1	1	1	1	1	1
UPI000FE202CE	7	1	1	1	1	1	1	1
UPI000FE20190	7	1	1	1	1	1	1	1
UPI000FE1E63B	7	1	1	1	1	1	1	1
UPI000FE1E353	7	1	1	1	1	1	1	1
UPI000FE1DD2B	7	1	1	1	1	1	1	1
UPI000FE1CF4C	7	1	1	1	1	1	1	1
UPI000FE1A4BC	7	1	1	1	1	1	1	1
UPI000FE1A384	7	1	1	1	1	1	1	1
UPI000FE19BC1	7	1	1	1	1	1	1	1
UPI000FE19AFB	7	1	1	1	1	1	1	1
UPI000D22C98A	7	1	1	1	1	1	1	1
UPI000D22C3D2	7	1	1	1	1	1	1	1
UPI000D22C289	7	1	1	1	1	1	1	1
UPI000D22B490	7	1	1	1	1	1	1	1
UPI000D22B411	7	1	1	1	1	1	1	1
UPI000D22B2FA	7	1	1	1	1	1	1	1
UPI000D22AB74	7	1	1	1	1	1	1	1
UPI000D229F84	7	1	1	1	1	1	1	1
UPI000D229491	7	1	1	1	1	1	1	1
UPI000D229426	7	1	1	1	1	1	1	1
UPI000D22941A	7	1	1	1	1	1	1	1
UPI000D229177	7	1	1	1	1	1	1	1
UPI000D2276CF	7	1	1	1	1	1	1	1
UPI000D227360	7	1	1	1	1	1	1	1
UPI000D227018	7	1	1	1	1	1	1	1
UPI000D226E02	7	1	1	1	1	1	1	1
UPI000D2267CE	7	1	1	1	1	1	1	1
UPI000D2261E3	7	1	1	1	1	1	1	1
UPI000D2261E0	7	1	1	1	1	1	1	1
UPI000D225EA7	7	1	1	1	1	1	1	1
UPI000D225A50	7	1	1	1	1	1	1	1
UPI000D2256C8	7	1	1	1	1	1	1	1
UPI000D22510A	7	1	1	1	1	1	1	1
UPI000D2250C4	7	1	1	1	1	1	1	1
UPI000D224C28	7	1	1	1	1	1	1	1
UPI000D223BAF	7	1	1	1	1	1	1	1
UPI000D22366D	7	1	1	1	1	1	1	1
UPI000D222F26	7	1	1	1	1	1	1	1
UPI000D222D92	7	1	1	1	1	1	1	1
UPI000D222457	7	1	1	1	1	1	1	1
UPI000D221043	7	1	1	1	1	1	1	1
UPI000D220F09	7	1	1	1	1	1	1	1
UPI000D220E07	7	1	1	1	1	1	1	1
UPI000D220CB7	7	1	1	1	1	1	1	1
UPI000D220847	7	1	1	1	1	1	1	1
UPI000D220826	7	1	1	1	1	1	1	1
UPI000D22000B	7	1	1	1	1	1	1	1
UPI000D21FFFE	7	1	1	1	1	1	1	1
UPI000D21FCE7	7	1	1	1	1	1	1	1
UPI000D21F7EC	7	1	1	1	1	1	1	1
UPI000D21F7B9	7	1	1	1	1	1	1	1
UPI000D21F733	7	1	1	1	1	1	1	1
UPI000D21EC9F	7	1	1	1	1	1	1	1
UPI000D21E131	7	1	1	1	1	1	1	1
UPI000D21DE35	7	1	1	1	1	1	1	1
UPI000D21DB8A	7	1	1	1	1	1	1	1
UPI000D21D128	7	1	1	1	1	1	1	1
UPI000D21BFCA	7	1	1	1	1	1	1	1
UPI000D21B72D	7	1	1	1	1	1	1	1
UPI000D21B69D	7	1	1	1	1	1	1	1
UPI000D21B500	7	1	1	1	1	1	1	1
UPI000D21B3FF	7	1	1	1	1	1	1	1
UPI000D21B01C	7	1	1	1	1	1	1	1
UPI000D21AEB6	7	1	1	1	1	1	1	1
UPI000D21ADDC	7	1	1	1	1	1	1	1
UPI000D21AD7E	7	1	1	1	1	1	1	1
UPI000D21A0F4	7	1	1	1	1	1	1	1
UPI000D219724	7	1	1	1	1	1	1	1
UPI000D21961A	7	1	1	1	1	1	1	1
UPI000D219564	7	1	1	1	1	1	1	1
UPI000D218F16	7	1	1	1	1	1	1	1
UPI000D218BFA	7	1	1	1	1	1	1	1
UPI000D218B43	7	1	1	1	1	1	1	1
UPI000D218AE0	7	1	1	1	1	1	1	1
UPI000D217E65	7	1	1	1	1	1	1	1
UPI000D217DFD	7	1	1	1	1	1	1	1
UPI000D21762F	7	1	1	1	1	1	1	1
UPI000D216F19	7	1	1	1	1	1	1	1
UPI000D216DF1	7	1	1	1	1	1	1	1
UPI000D216681	7	1	1	1	1	1	1	1
UPI000D2160A3	7	1	1	1	1	1	1	1
UPI000D215C6B	7	1	1	1	1	1	1	1
UPI000D215A20	7	1	1	1	1	1	1	1
UPI000D215A0B	7	1	1	1	1	1	1	1
UPI000D214F16	7	1	1	1	1	1	1	1
UPI000D21485B	7	1	1	1	1	1	1	1
UPI000D21464E	7	1	1	1	1	1	1	1
UPI000D213FD2	7	1	1	1	1	1	1	1
UPI000D213E85	7	1	1	1	1	1	1	1
UPI000D2138F6	7	1	1	1	1	1	1	1
UPI000D212972	7	1	1	1	1	1	1	1
UPI000D211F52	7	1	1	1	1	1	1	1
UPI000D211E3C	7	1	1	1	1	1	1	1
UPI000D211A08	7	1	1	1	1	1	1	1
UPI000D210D03	7	1	1	1	1	1	1	1
UPI000D210A50	7	1	1	1	1	1	1	1
UPI000D210806	7	1	1	1	1	1	1	1
UPI000D20FF96	7	1	1	1	1	1	1	1
UPI000D20F64C	7	1	1	1	1	1	1	1
UPI000D20EBEB	7	1	1	1	1	1	1	1
UPI000D20EB29	7	1	1	1	1	1	1	1
UPI000D20E8CE	7	1	1	1	1	1	1	1
UPI000D20DE59	7	1	1	1	1	1	1	1
UPI000D20DC01	7	1	1	1	1	1	1	1
UPI000D20D0D4	7	1	1	1	1	1	1	1
UPI000D20CBE5	7	1	1	1	1	1	1	1
UPI000D20C956	7	1	1	1	1	1	1	1
UPI000D20BF3E	7	1	1	1	1	1	1	1
UPI000D20BE65	7	1	1	1	1	1	1	1
UPI000D20AE36	7	1	1	1	1	1	1	1
UPI000D20AC88	7	1	1	1	1	1	1	1
UPI000D20AA78	7	1	1	1	1	1	1	1
UPI000D20A89D	7	1	1	1	1	1	1	1
UPI000D209E97	7	1	1	1	1	1	1	1
UPI000D20872A	7	1	1	1	1	1	1	1
UPI000D208353	7	1	1	1	1	1	1	1
UPI000D207704	7	1	1	1	1	1	1	1
UPI000D207377	7	1	1	1	1	1	1	1
UPI000D206F95	7	1	1	1	1	1	1	1
UPI000D206DB9	7	1	1	1	1	1	1	1
UPI000D2068F5	7	1	1	1	1	1	1	1
UPI000D206855	7	1	1	1	1	1	1	1
