cluster	proteomes_count	UP000000416	UP000001806	UP000000601	UP000077654	UP000298594	UP001460406	UP000298782	UP000019087	UP001455503	UP000298677	UP000317544	UP001476155	UP001458875	UP001457987	UP001434029	UP000298603	UP001056936	UP000243633	UP001433942	UP001433675	UP001457554	UP000000669	UP000006811	UP000298636	UP001442058	UP000294344	UP000294413	UP000326914	UP000298613	UP000298716	UP000066321	UP001467000	UP000294349	UP000325981	UP001730602	UP000006139	UP001491171	UP000271533	UP000298679	UP001730641	UP000001269	UP000006520	UP000298759	UP000298564	UP001730608	UP000093070	UP000298660	UP001730662	UP001244488	UP000298654	UP000298685	UP000294380	UP000006519	UP001463370	UP001057178	UP000298585	UP000294370	UP000298791	UP000298745	UP000294449	UP000271849	UP000298575	UP000294466	UP000006521	UP001730609	UP000244884	UP001730661	UP001730606	UP001481607	UP001479026	UP001464202	UP001434170	UP000829697	UP000705437	UP000502958	UP000298793	UP000298773	UP000294455	UP000294404	UP000002455	UP001730620	UP001475150	UP000510791	UP001464626	UP001730663	UP001477948	UP001473569	UP001730683	UP001730603	UP001730621	UP001459967	UP000665040	UP001730605	UP000298738	UP001461541	UP001730612	UP001474786	UP001476575	UP000298673	UP001485102	UP001730610	UP001730685	UP001730601	UP001730660	UP001446030	UP001730611	UP000244918	UP001730684	UP000019090	UP000019093	UP000019088	UP000006904	UP001675580	UP000006522	UP000298566	UP001674190	UP001763094	UP000298688	UP001730604	UP001438227	UP001730622	UP001730642	UP001461167	UP001730640
UPI0000127699	121	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1
UPI0000134B99	120	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	1	1
UPI000005E5D4	117	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
UPI0000133897	115	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	0	1	1	0	1	0	1	1	0	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1
UPI0000134BE0	98	1	1	0	1	1	1	1	1	1	1	1	1	1	1	0	0	1	0	0	1	0	1	1	0	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	0	1	0	1	1	1	1	1	1	1	1	1	1	0	0	0	0	0	1	2	1	1	1	0	1	1	1	1	1	0	1	0	0	1	1	1	1	1	1	1	1	1	1	1	1	0	0	1	1	1	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1
UPI00001285B0	93	1	1	1	1	1	1	0	1	1	1	0	0	1	1	1	1	1	0	0	1	0	0	0	0	1	0	0	1	1	1	1	1	0	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	1	1	1	1	0	1	1	0	0	1	0	1	0	1	0	0	0	1	1	1	1	1	1	1	1	0	0	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	0	1	1
UPI000012D254	92	1	1	0	1	1	0	1	1	0	0	1	1	0	1	1	0	1	1	0	1	1	1	1	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	0	1	1	0	1	1	1	1	1	1	0	1	1	1	1	1	0	0	0	0	1	1	1	2	1	1	1	1	1	1	0	1	1	0	1	0	0	1	1	0	0	0	1	1	0	1	0	0	1	1	0	1	0	1	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0
UPI0000129D82	91	1	1	1	1	1	1	1	1	0	0	1	0	1	1	1	1	0	0	0	1	1	0	1	1	0	1	1	1	1	1	1	1	0	1	1	1	0	1	1	0	1	0	1	1	1	1	1	1	0	1	1	0	1	0	1	1	1	1	1	1	0	1	1	1	0	1	0	1	0	1	0	1	1	1	1	1	1	0	1	1	0	1	1	0	1	0	0	1	1	1	0	0	1	1	1	1	1	0	1	1	1	1	1	1	0	0	1	0	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	0
UPI0000134E69	82	1	1	1	0	1	1	0	1	1	1	0	0	1	1	0	0	1	0	0	0	1	1	1	0	0	0	0	1	1	1	1	1	1	1	1	1	0	1	1	0	1	1	1	1	1	1	1	1	1	1	0	0	1	1	1	1	0	1	1	0	0	1	0	1	0	1	0	0	0	0	1	0	1	2	1	1	1	0	1	1	1	1	1	0	1	0	0	0	1	1	1	0	1	1	1	1	1	0	1	1	0	1	0	1	0	0	1	1	1	1	1	1	1	1	0	1	1	1	1	0	1	0	0	1
UPI0000134C34	70	1	1	0	1	1	1	1	1	0	1	0	0	0	1	0	0	0	1	0	0	1	0	1	0	0	0	0	1	1	1	1	1	1	1	0	1	0	1	1	1	1	1	1	1	1	1	1	1	0	1	0	0	1	0	0	1	0	1	1	0	0	1	0	1	0	1	0	0	0	0	0	0	1	1	1	1	1	0	0	1	1	1	1	0	1	0	0	0	0	1	0	0	1	1	0	1	1	0	1	1	0	1	0	1	0	0	1	0	1	1	1	1	1	1	1	1	1	1	0	1	0	0	0	0
