PPid	species_name	UPID	isRP	clusters	in_fasta
pp100177	Borreliella lusitaniae	UP001301963	t	1033	1033
pp100177	Borreliella lusitaniae	UP001654463	f	1065	66
pp100177	Borreliella lusitaniae	UP001305198	f	1025	59
pp10029	Cricetulus griseus	UP001108280	t	20664	20664
pp10029	Cricetulus griseus	UP000001075	f	23260	10841
pp10029	Cricetulus griseus	UP000030759	f	9409	3032
pp10029	Cricetulus griseus	UP000694386	f	20618	2143
pp1004260	Capnocytophaga catalasegens	UP001208692	t	2649	2649
pp1004260	Capnocytophaga catalasegens	UP001207736	f	2647	22
pp1004260	Capnocytophaga catalasegens	UP001209629	f	2643	12
pp1004279	Mesorhizobium muleiense	UP000198894	t	6513	6513
pp1004279	Mesorhizobium muleiense	UP001980702	f	6884	1292
pp1004279	Mesorhizobium muleiense	UP001923780	f	6193	1005
pp1004279	Mesorhizobium muleiense	UP001923619	f	6170	161
pp1005926	Flagellimonas taeanensis	UP000198940	t	4018	4018
pp1005926	Flagellimonas taeanensis	UP001348428	f	3620	556
pp1005926	Flagellimonas taeanensis	UP000266047	f	3409	476
pp1005926	Flagellimonas taeanensis	UP000184031	f	4023	57
pp1005962	Ogataea parapolymorpha	UP000008673	t	5329	5329
pp1005962	Ogataea parapolymorpha	UP000719696	f	5444	379
pp1005962	Ogataea parapolymorpha	UP001973983	f	5404	99
pp1005962	Ogataea parapolymorpha	UP001973981	f	5412	20
pp1006	Marivirga tractuosa	UP000008720	t	3736	3736
pp1006	Marivirga tractuosa	UP001671087	t	4071	2403
pp1006	Marivirga tractuosa	UP001338165	f	3778	49
pp1007511	Sphingobium limneticum	UP000326364	t	4710	4710
pp1007511	Sphingobium limneticum	UP000326896	f	4565	693
pp1007511	Sphingobium limneticum	UP000325933	f	4693	20
pp100787	Verticillium longisporum	UP000044602	t	15694	15694
pp100787	Verticillium longisporum	UP000045706	f	17133	7234
pp100787	Verticillium longisporum	UP001197337	f	14552	4077
pp100787	Verticillium longisporum	UP000689129	f	11814	3328
pp1008	Saprospira grandis	UP000007519	t	4059	4059
pp1008	Saprospira grandis	UP000005113	f	3392	583
pp1008	Saprospira grandis	UP001210236	f	3280	329
pp100861	Aphanomyces euteiches	UP000481153	t	18529	18529
pp100861	Aphanomyces euteiches	UP001966440	f	16266	1938
pp100861	Aphanomyces euteiches	UP001966455	f	16141	1290
pp100861	Aphanomyces euteiches	UP001980443	f	18447	1170
pp100861	Aphanomyces euteiches	UP001966441	f	16659	895
pp100861	Aphanomyces euteiches	UP001966442	f	16638	440
pp100861	Aphanomyces euteiches	UP001980444	f	17950	415
pp100861	Aphanomyces euteiches	UP001966456	f	16179	404
pp100861	Aphanomyces euteiches	UP001980441	f	17866	400
pp100861	Aphanomyces euteiches	UP001966443	f	16584	311
pp100861	Aphanomyces euteiches	UP001966479	f	16054	296
pp100861	Aphanomyces euteiches	UP001966445	f	16188	252
pp100861	Aphanomyces euteiches	UP001966444	f	16575	221
pp100861	Aphanomyces euteiches	UP001966446	f	16189	168
pp100861	Aphanomyces euteiches	UP001966449	f	16182	154
pp100861	Aphanomyces euteiches	UP001966447	f	16213	145
pp100861	Aphanomyces euteiches	UP001966448	f	16564	127
pp100861	Aphanomyces euteiches	UP001966450	f	16177	105
pp100861	Aphanomyces euteiches	UP001966480	f	16099	102
pp100861	Aphanomyces euteiches	UP001980378	f	18750	98
pp100861	Aphanomyces euteiches	UP001966451	f	16675	88
pp100861	Aphanomyces euteiches	UP001966457	f	16704	84
pp100861	Aphanomyces euteiches	UP001966454	f	16222	79
pp100861	Aphanomyces euteiches	UP001966452	f	16214	79
pp100861	Aphanomyces euteiches	UP001966453	f	16175	58
pp100861	Aphanomyces euteiches	UP001966459	f	16646	50
pp100861	Aphanomyces euteiches	UP001966460	f	16282	49
